epoch,loss_data,loss_phys,loss_total
0,0.21393422,0.00033613,0.21393758
10,0.10774386,0.01739245,0.10791779
20,0.10120979,0.04384112,0.10164820
30,0.09647478,0.02334480,0.09670823
40,0.09341602,0.02749002,0.09369092
50,0.09127720,0.02730959,0.09155029
60,0.08945956,0.02738739,0.08973343
70,0.08786384,0.03196802,0.08818352
80,0.08656402,0.03587721,0.08692279
90,0.08548805,0.04318128,0.08591986
100,0.08462518,0.05130264,0.08513821
110,0.08391395,0.06135229,0.08452748
120,0.08331221,0.07207890,0.08403300
130,0.08276990,0.08318461,0.08360175
140,0.08224470,0.09444907,0.08318919
150,0.08170609,0.10561261,0.08276222
160,0.08112877,0.11694730,0.08229824
170,0.08049636,0.12860471,0.08178240
180,0.07979657,0.14079443,0.08120451
190,0.07901970,0.15372852,0.08055698
200,0.07815856,0.16751720,0.07983373
210,0.07720810,0.18218805,0.07902998
220,0.07616528,0.19769587,0.07814224
230,0.07502934,0.21389896,0.07716833
240,0.07380189,0.23053380,0.07610723
250,0.07248658,0.24723521,0.07495893
260,0.07108883,0.26356087,0.07372444
270,0.06961536,0.27902798,0.07240564
280,0.06807362,0.29315460,0.07100516
290,0.06647131,0.30550013,0.06952631
300,0.06481594,0.31569650,0.06797290
310,0.06311461,0.32346893,0.06634930
320,0.06137405,0.32864575,0.06466050
330,0.05960055,0.33115675,0.06291212
340,0.05779982,0.33102636,0.06111008
350,0.05597630,0.32837220,0.05926002
360,0.05413211,0.32341427,0.05736625
370,0.05226574,0.31648953,0.05543063
380,0.05037101,0.30805827,0.05345159
390,0.04843678,0.29868968,0.05142368
400,0.04644785,0.28902187,0.04933806
410,0.04438712,0.27970154,0.04718414
420,0.04223887,0.27131437,0.04495202
430,0.03999228,0.26431800,0.04263546
440,0.03764475,0.25898547,0.04023460
450,0.03520432,0.25536272,0.03775795
460,0.03269107,0.25324261,0.03522349
470,0.03013709,0.25216016,0.03265869
480,0.02758494,0.25141615,0.03009910
490,0.02508437,0.25013917,0.02758576
500,0.02268776,0.24739710,0.02516173
510,0.02044478,0.24235707,0.02286835
520,0.01839715,0.23446272,0.02074177
530,0.01657442,0.22356831,0.01881010
540,0.01499163,0.20997270,0.01709136
550,0.01364900,0.19433714,0.01559237
560,0.01253363,0.17752128,0.01430884
570,0.01162254,0.16040204,0.01322656
580,0.01088648,0.14373338,0.01232382
590,0.01029384,0.12807280,0.01157456
600,0.00981398,0.11376873,0.01095167
610,0.00941984,0.10098708,0.01042971
620,0.00908924,0.08975455,0.00998678
630,0.00880523,0.08000303,0.00960526
640,0.00855557,0.07160768,0.00927165
650,0.00833180,0.06441600,0.00897596
660,0.00812821,0.05826840,0.00871089
670,0.00794094,0.05301134,0.00847105
680,0.00776731,0.04850490,0.00825236
690,0.00760532,0.04462624,0.00805158
700,0.00745337,0.04127035,0.00786608
710,0.00731013,0.03834924,0.00769362
720,0.00717438,0.03579012,0.00753228
730,0.00704508,0.03353339,0.00738041
740,0.00692127,0.03153051,0.00723657
750,0.00680211,0.02974197,0.00709953
760,0.00668687,0.02813566,0.00696822
770,0.00657491,0.02668533,0.00684177
780,0.00646571,0.02536945,0.00671940
790,0.00635879,0.02417021,0.00660049
800,0.00625380,0.02307279,0.00648452
